Title (internal),URL,Application,Task,Input,Feedback,Interface_Element,Interaction_Technique,Link_To_Video(Internal)
Sample Observation 1,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a32f2dce-2715-49cf-9387-a9c144b3a600/public,Spongebob,,,,,,
Sample Observation 2,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/99bd8849-64b7-4936-5079-433721b32800/public,Spongebob,,,,,,
Sample 3,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ea4aba6e-6196-4f28-3988-385dc0281500/public,Spongebob,,,,,,
Sample 4,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c2d79750-2b0f-470a-5518-39a29829b100/public,Spongebob,,,,,,
Sample 5,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ddb55e57-c232-4179-90a8-2e4d24e5df00/public,Spongebob,,,,,,
Raycast Selection on Meta Quest Home,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/25d2ee06-9acd-4d73-7b2b-8d87709a5700/public,Meta Quest 3: Home,Selection,"Controller Pose, Trigger","Haptic Bump, Button Hover Effect","Button, Raycast Pointer",Raycast Selection,
Beat Saber Menu Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1bdf9063-ec02-41e2-708c-6968cd09fb00/public,,,,,,,https://youtu.be/py2bnYWhuJI?si=DvlAuKdV6XRj2nPJ
Beat Sabe Song Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/727af98e-a08b-406a-4b8b-f91f77935100/public,,,,,,,https://youtu.be/py2bnYWhuJI?si=DvlAuKdV6XRj2nPJ
Beat Saber Option Selection,,,,,,,,
Beat Saber Striking Block,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f0abce51-6a19-4eb4-f870-b272b4c21d00/public,,,,,,,https://youtu.be/py2bnYWhuJI?si=DvlAuKdV6XRj2nPJ
Beat Saber Ducking,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3110985c-c10f-446a-bb8b-7a8058020000/public,,,,,,,https://www.youtube.com/watch?v=eVyTtWR-sOs
Beat Saber Dodging,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b4b7b6ae-2ebc-45aa-6bea-1072f22ac200/public,,,,,,,https://youtu.be/py2bnYWhuJI?si=DvlAuKdV6XRj2nPJ
VTOL Battery On,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e3bfd084-3dec-4f75-ada5-9e2f01352500/public,VTOL VR,Selection,Trigger,"Haptic Bump, Button Hover Effect",Switch,Flick Switch,
VTOL Joystick,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4db5099f-6f6b-4ff1-0402-08949379a700/public,VTOL VR,Control,"Controller Pose, Trigger","Haptic Bump, Joint Moving",Joystick,Move Joystick,
VTOL HUD Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/57995846-8cd3-44ac-c4ac-db3fb29e5000/public,VTOL VR,Selection,Trigger,"Haptic Bump, Button Hover Effect",Button,Button Selection,
VTOL Thumbstick,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/fea6bd72-9f18-4a5b-3408-3a210e0a9a00/public,VTOL VR,Control,"Controller Pose, Trigger",Joint Moving,Thumbstick,Move Thumbstick,
VTOL Thruster Control,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/36c9555d-0891-4208-b4c8-1a02a8815d00/public,VTOL VR,Control,"Controller Pose, Trigger","Haptic Bump, Button Hover Effect",Lever,Drag,
VTOL Number Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/25bf9a3f-5734-4552-3b4c-2c88d9115800/public,VTOL VR,Selection,Trigger,"Haptic Bump, Button Hover Effect",Button,Button Selection,
VTOL Knob Control,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6d0384c3-84a5-4102-cac8-465bbc9b1c00/public,VTOL VR,Selection,Trigger,"Haptic Bump, Button Hover Effect",Knob,Knob Control,
